food|lat|lon
meat|52.3622973697|4.88611805482
lamb|52.3622973697|4.88611805482
curry|52.3622973697|4.88611805482
sauce|52.3622973697|4.88611805482
rice|52.3622973697|4.88611805482
garlic|52.3622973697|4.88611805482
naan|52.3622973697|4.88611805482
wine|52.3622973697|4.88611805482
coffee|52.3704467|4.8515307
cappuccino|52.3704467|4.8515307
banana|52.3704467|4.8515307
bread|52.3704467|4.8515307
banana bread|52.3704467|4.8515307
sandwich|52.3778513|4.8815792
meat|52.3778513|4.8815792
egg|52.3778513|4.8815792
lettuce|52.3778513|4.8815792
sauce|52.3778513|4.8815792
croissant|52.35191708|4.624652444
eggs|52.3625593712|4.86182842533
butter|52.3625593712|4.86182842533
syrup|52.3625593712|4.86182842533
fish|52.3625593712|4.86182842533
taco|52.3625593712|4.86182842533
egg|52.3625593712|4.86182842533
waffle|52.3625593712|4.86182842533
eggs|52.37764|4.88732
bacon|52.37764|4.88732
cheese|52.37764|4.88732
bread|52.37764|4.88732
rijsttafel|52.3771941|4.8892332
rice|52.3771941|4.8892332
curry|52.3771941|4.8892332
coffee|52.37838|4.88235
sugar|52.37838|4.88235
latte|52.37838|4.88235
cappuccino|52.37838|4.88235
cocktail|52.3722804713|4.88883777774
coffee|52.3625593712|4.86182842533
rice|48.8662559998|2.33540943255
noodles|48.8662559998|2.33540943255
curry|48.8662559998|2.33540943255
caramel|48.868024523|2.33352521322
chocolate|48.868024523|2.33352521322
fruit|48.868024523|2.33352521322
chocolate|48.8650544534|2.32850080932
hot chocolate|48.8650544534|2.32850080932
pastry|48.8650544534|2.32850080932
cream|48.8650544534|2.32850080932
puff pastry|48.8650544534|2.32850080932
chocolate|48.8650544534|2.32850080932
pastry|48.8650544534|2.32850080932
salad|48.86629|2.3356
beef|48.86629|2.3356
wok|48.86629|2.3356
meat|48.86629|2.3356
miso|48.86629|2.3356
ramen|48.86629|2.3356
noodles|48.86629|2.3356
soup|48.86629|2.3356
miso soup|48.86629|2.3356
takoyaki|48.8662559998|2.33540943255
tempura|48.8662559998|2.33540943255
beer|48.86598|2.3366699
tofu|48.86598|2.3366699
oden|48.86598|2.3366699
pork|48.86598|2.3366699
tempura|48.86598|2.3366699
pork|52.36747|4.86788
baguette|52.36747|4.86788
fish|52.37531|4.90732
pineapple|52.37531|4.90732
vegetables|52.37531|4.90732
honey|52.37531|4.90732
pork|52.37531|4.90732
sauce|52.37531|4.90732
sugar|52.37531|4.90732
spareribs|52.37531|4.90732
gelato|52.3618786935|4.88282417795
curry|52.3698069|4.8771134
egg|52.3698069|4.8771134
lamb|52.3698069|4.8771134
stew|52.3698069|4.8771134
cauliflower|52.3698069|4.8771134
brownie|52.3698069|4.8771134
chocolate|52.3698069|4.8771134
caramel|52.3698069|4.8771134
cake|52.37718|4.88867
quinoa|52.36747|4.86788
sushi|52.36747|4.86788
cake|52.3255960849|4.79225590192
coffee|52.3574221573|4.9065172391
tuna|52.3847499|4.89428
bagel|52.3847499|4.89428
coffee|52.3847499|4.89428
cheese|52.3847499|4.89428
lemon|52.3847499|4.89428
sandwich|52.36747|4.86788
caramel|52.3741309979|4.89456535887
baguette|52.33645|4.87303
fish|52.3747131|4.900556
fillet|52.3747131|4.900556
sauce|52.3747131|4.900556
rice|52.3747131|4.900556
bagel|52.3582845|4.8781062
goat|52.3582845|4.8781062
cheese|52.3582845|4.8781062
honey|52.3582845|4.8781062
yogurt|52.3582845|4.8781062
pumpkin|52.3582845|4.8781062
chocolate|52.3582845|4.8781062
hamburger|52.365804|4.8859612
gin|52.3677878889|4.86809134483
tuna|52.35746|4.91013
bagel|52.35746|4.91013
cheese|52.35746|4.91013
meat|52.3658625273|4.8817669968
olive|52.3658625273|4.8817669968
ham|52.3658625273|4.8817669968
cheese|52.3658625273|4.8817669968
lobster|52.3658625273|4.8817669968
beef|52.3658625273|4.8817669968
stew|52.3658625273|4.8817669968
pasta|52.3658625273|4.8817669968
potatoes|52.3658625273|4.8817669968
spaghetti|52.3658625273|4.8817669968
risotto|52.3658625273|4.8817669968
soup|52.3740396762|4.88340819
bacon|52.3740396762|4.88340819
beef|52.3740396762|4.88340819
pea soup|52.3740396762|4.88340819
honey|52.3558|4.89517
hummus|52.3558|4.89517
yogurt|52.3558|4.89517
beef|52.3558|4.89517
lamb|52.3558|4.89517
kebab|52.3558|4.89517
sauce|52.3558|4.89517
rice|52.3558|4.89517
tomato|52.3558|4.89517
salad|52.3558|4.89517
shrimp|52.3558|4.89517
kebab|52.3558|4.89517
curry|52.3558|4.89517
sauce|52.3558|4.89517
vegetables|52.3558|4.89517
rice|52.3558|4.89517
salad|52.3558|4.89517
frites|52.36677|4.89358
mayonnaise|52.36677|4.89358
satay|52.36677|4.89358
peanut|52.36677|4.89358
sauce|52.36677|4.89358
crab|52.3677878889|4.86809134483
wasabi|52.3677878889|4.86809134483
coffee|52.33778|4.8724399
cappuccino|52.33778|4.8724399
coffee|52.33729|4.8712099
mackerel|52.3865158343|4.90874413955
avocado|52.3865158343|4.90874413955
fish|52.3865158343|4.90874413955
seafood|52.3865158343|4.90874413955
yoghurt|52.3545737615|4.89353178612
beef|52.3574657003|4.89921569824
onion|52.3574657003|4.89921569824
chutney|52.3574657003|4.89921569824
cheese|52.3574657003|4.89921569824
beer|52.3574657003|4.89921569824
sandwich|52.3552433764|4.89326781401
egg|52.3552433764|4.89326781401
tomato|52.3552433764|4.89326781401
lettuce|52.3552433764|4.89326781401
bacon|52.3552433764|4.89326781401
club sandwich|52.3552433764|4.89326781401
steak|52.3552433764|4.89326781401
cheese|52.3552433764|4.89326781401
sandwich|52.3552433764|4.89326781401
cheese sandwich|52.3552433764|4.89326781401
club sandwich|52.3552433764|4.89326781401
bread|52.373363525|4.88910653385
ginger|52.373363525|4.88910653385
tea|52.373363525|4.88910653385
coffee|52.3527045905|4.89141715443
steak|52.3552433764|4.89326781401
sandwich|52.3552433764|4.89326781401
steak sandwich|52.3552433764|4.89326781401
pancake|52.3748999|4.88373
salad|52.3584|4.88886
apple|52.3584|4.88886
herring|52.3741926998|4.8938423959
sandwich|52.3741926998|4.8938423959
fish|52.3741926998|4.8938423959
carrot|52.3676231494|4.86760769792
orange|52.3676231494|4.86760769792
ginger|52.3676231494|4.86760769792
cinnamon|52.3676231494|4.86760769792
tea|52.356111|4.896944
coffee|52.3695833253|4.9065008931
cappuccino|52.3695833253|4.9065008931
toffee|52.3624446751|4.8890558601
pudding|52.3624446751|4.8890558601
beans|52.365804|4.8859612
coffee|52.3527045905|4.89141715443
chocolate|52.3527045905|4.89141715443
ganache|52.3527045905|4.89141715443
lemon|52.3527045905|4.89141715443
pie|52.3527045905|4.89141715443
hamburger|52.3574657003|4.89921569824
